Order ID,Дата создания,User ID,ID продукта,Оплачен,Дата платежа,Сумма платежа,Сумма заказа,Сумма скидки
order179,1/16/2019,id10851,product3,да,1/16/2019,4200,4200,0
order182,1/17/2019,id3656,product3,да,1/17/2019,4200,4200,0
order183,1/17/2019,id2146,product3,да,1/17/2019,4200,4200,0
order184,1/17/2019,id1533,product5,да,1/17/2019,3900,3900,0
order187,1/17/2019,id2386,product3,да,1/17/2019,4200,4200,0
order188,1/17/2019,id3459,product5,да,1/17/2019,3900,3900,0
order191,1/18/2019,id1294,product3,да,1/18/2019,4200,4200,0
order192,1/18/2019,id3153,product2,да,1/18/2019,4050,4050,0
order193,1/18/2019,id2122,product4,да,1/18/2019,4300,4300,0
order194,1/18/2019,id12744,product5,да,1/18/2019,3900,3900,0
order195,1/18/2019,id5025,product2,да,1/18/2019,4050,4050,0
order196,1/18/2019,id2065,product5,да,1/18/2019,3900,3900,0
order198,1/18/2019,id4953,product1,да,1/18/2019,4300,4300,0
order199,1/18/2019,id353,product1,да,1/18/2019,4300,4300,0
order200,1/18/2019,id10889,product3,да,1/18/2019,4200,4200,0
order202,1/18/2019,id5085,product5,да,1/18/2019,3900,3900,0
order203,1/18/2019,id4177,product1,да,1/18/2019,4300,4300,0
order204,1/18/2019,id3252,product5,да,1/18/2019,3120,3900,780
order205,1/18/2019,id705,product2,да,1/18/2019,4050,4050,0
order208,1/19/2019,id7372,product1,да,1/19/2019,"3606,451613",4300,"693,5483871"
order209,1/19/2019,id4649,product4,да,1/19/2019,4300,4300,0
order212,1/19/2019,id1250,product5,да,1/19/2019,3900,3900,0
order213,1/19/2019,id1035,product5,да,1/19/2019,3900,3900,0
order214,1/19/2019,id3284,product2,да,1/19/2019,4050,4050,0
order216,1/19/2019,id4534,product6,да,1/19/2019,3360,4200,840
order217,1/19/2019,id703,product2,да,1/19/2019,3240,4050,810
order218,1/19/2019,id793,product3,да,1/19/2019,3360,4200,840
order219,1/19/2019,id12314,product2,да,1/19/2019,2430,4050,1620
order220,1/19/2019,id4777,product4,да,1/19/2019,3440,4300,860
order221,1/19/2019,id10621,product1,да,1/19/2019,"2274,83871",4300,"2025,16129"
order222,1/19/2019,id6453,product5,да,1/19/2019,3120,3900,780
order223,1/19/2019,id8452,product3,да,1/19/2019,3360,4200,840
order225,1/19/2019,id10863,product4,да,1/19/2019,3440,4300,860
order226,1/19/2019,id1068,product3,да,1/19/2019,"40,64516129",4200,"4159,354839"
order227,1/19/2019,id4457,product4,да,1/19/2019,3440,4300,860
order228,1/19/2019,id6034,product3,да,1/19/2019,3360,4200,840
order231,1/19/2019,id6661,product4,да,1/19/2019,3440,4300,860
order232,1/19/2019,id9110,product4,да,1/19/2019,3440,4300,860
order233,1/19/2019,id2242,product3,да,1/19/2019,3360,4200,840
order234,1/19/2019,id3138,product5,да,1/19/2019,3120,3900,780
order235,1/19/2019,id8151,product4,да,1/19/2019,3440,4300,860
order236,1/19/2019,id2365,product5,да,1/19/2019,3120,3900,780
order237,1/19/2019,id4909,product5,да,1/19/2019,3120,3900,780
order238,1/19/2019,id12685,product3,да,1/19/2019,3360,4200,840
order239,1/19/2019,id11502,product3,да,1/19/2019,3360,4200,840
order240,1/19/2019,id6681,product6,да,1/19/2019,"2005,16129",4200,"2194,83871"
order241,1/19/2019,id231,product5,да,1/19/2019,3120,3900,780
order242,1/19/2019,id1070,product5,да,1/19/2019,3120,3900,780
order243,1/19/2019,id4049,product1,да,1/19/2019,2580,4300,1720
order244,1/19/2019,id11664,product1,да,1/19/2019,3440,4300,860
order245,1/19/2019,id4691,product4,да,1/19/2019,3440,4300,860
order246,1/19/2019,id4691,product3,да,1/19/2019,3360,4200,840
order247,1/19/2019,id4691,product6,да,1/19/2019,3360,4200,840
order248,1/19/2019,id13352,product1,да,1/19/2019,3440,4300,860
order249,1/19/2019,id13266,product3,да,1/19/2019,3360,4200,840
order250,1/19/2019,id1627,product2,да,1/19/2019,"2886,923077",4050,"1163,076923"
order251,1/19/2019,id917,product3,да,1/19/2019,3360,4200,840
order252,1/19/2019,id2290,product3,да,1/19/2019,3360,4200,840
order254,1/19/2019,id1055,product3,да,1/19/2019,2520,4200,1680
order256,1/19/2019,id7293,product5,да,1/19/2019,3120,3900,780
order257,1/20/2019,id14414,product5,да,1/20/2019,3120,3900,780
order259,1/20/2019,id1564,product1,да,1/20/2019,2580,4300,1720
order261,1/20/2019,id8107,product3,да,1/20/2019,3360,4200,840
order264,1/20/2019,id10358,product6,да,1/20/2019,3360,4200,840
order265,1/20/2019,id5730,product4,да,1/20/2019,3440,4300,860
order266,1/20/2019,id1761,product3,да,1/20/2019,3360,4200,840
order271,1/20/2019,id8806,product5,да,1/20/2019,3120,3900,780
order268,1/20/2019,id10042,product3,да,1/20/2019,3360,4200,840
order273,1/20/2019,id2828,product5,да,1/20/2019,3120,3900,780
order275,1/20/2019,id11948,product3,да,1/20/2019,3360,4200,840
order279,1/20/2019,id2454,product3,да,1/20/2019,3360,4200,840
order277,1/20/2019,id2602,product3,да,1/20/2019,3360,4200,840
order282,1/20/2019,id5697,product3,да,1/20/2019,3360,4200,840
order283,1/20/2019,id13510,product6,да,1/20/2019,3360,4200,840
order284,1/20/2019,id4954,product3,да,1/20/2019,3360,4200,840
order285,1/20/2019,id12818,product5,да,1/20/2019,3120,3900,780
order286,1/20/2019,id7557,product3,да,1/20/2019,2520,4200,1680
order287,1/20/2019,id5154,product5,да,1/20/2019,3120,3900,780
order288,1/20/2019,id2954,product3,да,1/20/2019,3360,4200,840
order289,1/20/2019,id3393,product5,да,1/20/2019,3120,3900,780
order290,1/20/2019,id1709,product3,да,1/20/2019,3360,4200,840
order292,1/20/2019,id1053,product3,да,1/20/2019,3360,4200,840
order293,1/20/2019,id1408,product5,да,1/20/2019,3120,3900,780
order295,1/20/2019,id1756,product5,да,1/20/2019,3120,3900,780
order296,1/20/2019,id11659,product3,да,1/20/2019,2520,4200,1680
order297,1/20/2019,id13342,product5,да,1/20/2019,2340,3900,1560
order298,1/21/2019,id10673,product5,да,1/21/2019,3120,3900,780
order299,1/21/2019,id4691,product5,да,1/21/2019,3120,3900,780
order305,1/21/2019,id6793,product2,да,1/21/2019,3240,4050,810
order306,1/21/2019,id3622,product6,да,1/21/2019,3360,4200,840
order307,1/21/2019,id10901,product3,да,1/21/2019,3360,4200,840
order308,1/21/2019,id589,product2,да,1/21/2019,3240,4050,810
order309,1/21/2019,id2776,product3,да,1/21/2019,3360,4200,840
order311,1/21/2019,id2001,product4,да,1/21/2019,3440,4300,860
order312,1/21/2019,id11498,product3,да,1/21/2019,3360,4200,840
order313,1/21/2019,id3645,product3,да,1/21/2019,3360,4200,840
order317,1/21/2019,id1247,product3,да,1/21/2019,3360,4200,840
order318,1/21/2019,id6027,product1,да,1/21/2019,3440,4300,860
order320,1/21/2019,id1987,product5,да,1/21/2019,3120,3900,780
order321,1/21/2019,id8940,product4,да,1/21/2019,3440,4300,860
order324,1/21/2019,id12899,product3,да,1/21/2019,3360,4200,840
order325,1/21/2019,id10873,product5,да,1/21/2019,3120,3900,780
order326,1/21/2019,id12826,product5,да,1/21/2019,3120,3900,780
order327,1/21/2019,id2597,product6,да,1/21/2019,2520,4200,1680
order328,1/21/2019,id2597,product2,да,1/21/2019,2430,4050,1620
order329,1/21/2019,id169,product5,да,1/21/2019,3120,3900,780
order330,1/21/2019,id122,product3,да,1/21/2019,3360,4200,840
order331,1/21/2019,id122,product6,да,1/21/2019,3360,4200,840
order332,1/21/2019,id5441,product3,да,1/21/2019,3360,4200,840
order333,1/21/2019,id3504,product5,да,1/21/2019,3120,3900,780
order336,1/21/2019,id5159,product2,да,1/21/2019,3240,4050,810
order337,1/21/2019,id3965,product4,да,1/21/2019,"1636,774194",4300,"2663,225806"
order338,1/21/2019,id4967,product5,да,1/21/2019,3120,3900,780
order342,1/21/2019,id8201,product1,да,1/21/2019,3440,4300,860
order343,1/21/2019,id794,product4,да,1/21/2019,3440,4300,860
order347,1/21/2019,id10346,product6,да,1/21/2019,3360,4200,840
order348,1/21/2019,id2840,product1,да,1/21/2019,3440,4300,860
order349,1/22/2019,id13861,product3,да,1/22/2019,"433,5483871",4200,"3766,451613"
order352,1/22/2019,id13939,product1,да,1/22/2019,3440,4300,860
order353,1/22/2019,id13622,product5,да,1/22/2019,3120,3900,780
order354,1/22/2019,id3848,product4,да,1/22/2019,3440,4300,860
order355,1/22/2019,id7639,product3,да,1/22/2019,3360,4200,840
order359,1/22/2019,id4584,product4,да,1/22/2019,3440,4300,860
order360,1/22/2019,id12871,product4,да,1/22/2019,3440,4300,860
order361,1/22/2019,id3711,product4,да,1/22/2019,3440,4300,860
order362,1/22/2019,id14371,product6,да,1/22/2019,3360,4200,840
order363,1/22/2019,id4674,product5,да,1/22/2019,"2880,222222",3900,"1019,777778"
order365,1/22/2019,id5879,product5,да,1/22/2019,3120,3900,780
order367,1/22/2019,id3108,product3,да,1/22/2019,3360,4200,840
order368,1/22/2019,id4935,product6,да,1/22/2019,"456,5806452",4200,"3743,419355"
order370,1/22/2019,id4812,product5,да,1/22/2019,"3018,294118",3900,"881,7058824"
order371,1/22/2019,id4812,product3,да,1/22/2019,"3179,806452",4200,"1020,193548"
order372,1/22/2019,id4812,product6,да,1/22/2019,"3179,806452",4200,"1020,193548"
order373,1/22/2019,id4073,product4,да,1/22/2019,3440,4300,860
order377,1/22/2019,id5816,product5,да,1/22/2019,3120,3900,780
order379,1/22/2019,id2796,product5,да,1/22/2019,3120,3900,780
order381,1/22/2019,id2999,product3,да,1/22/2019,3360,4200,840
order383,1/23/2019,id12725,product3,да,1/23/2019,3360,4200,840
order384,1/23/2019,id7414,product1,да,1/23/2019,3440,4300,860
order385,1/23/2019,id4708,product4,да,1/23/2019,3440,4300,860
order386,1/23/2019,id1686,product3,да,1/23/2019,3360,4200,840
order387,1/23/2019,id956,product3,да,1/23/2019,3360,4200,840
order389,1/23/2019,id2440,product3,да,1/23/2019,3360,4200,840
order391,1/23/2019,id3203,product4,да,1/23/2019,3440,4300,860
order392,1/23/2019,id381,product3,да,1/23/2019,3360,4200,840
order393,1/23/2019,id12217,product4,да,1/23/2019,3440,4300,860
order394,1/23/2019,id3563,product5,да,1/23/2019,3120,3900,780
order396,1/23/2019,id2179,product1,да,1/23/2019,2580,4300,1720
order397,1/23/2019,id7778,product4,да,1/23/2019,3440,4300,860
order398,1/23/2019,id3093,product4,да,1/23/2019,3440,4300,860
order399,1/23/2019,id3107,product4,да,1/23/2019,3440,4300,860
order400,1/23/2019,id4520,product3,да,1/23/2019,3360,4200,840
order403,1/23/2019,id4931,product5,да,1/23/2019,3120,3900,780
order405,1/23/2019,id2223,product6,да,1/23/2019,3360,4200,840
order406,1/23/2019,id9010,product2,да,1/23/2019,3240,4050,810
order407,1/23/2019,id2617,product3,да,1/23/2019,3360,4200,840
order409,1/23/2019,id4822,product5,да,1/23/2019,3120,3900,780
order410,1/23/2019,id4822,product3,да,1/23/2019,3360,4200,840
order411,1/23/2019,id10159,product5,да,1/23/2019,2340,3900,1560
order414,1/24/2019,id4937,product6,да,1/24/2019,3360,4200,840
order415,1/24/2019,id285,product4,да,1/24/2019,3440,4300,860
order418,1/24/2019,id5047,product3,да,1/24/2019,2520,4200,1680
order420,1/24/2019,id3624,product3,да,1/24/2019,3360,4200,840
order421,1/24/2019,id11459,product3,да,1/24/2019,3360,4200,840
order423,1/24/2019,id10573,product3,да,1/24/2019,3360,4200,840
order424,1/24/2019,id3219,product5,да,1/24/2019,3120,3900,780
order425,1/24/2019,id2248,product5,да,1/24/2019,3120,3900,780
order426,1/24/2019,id743,product3,да,1/24/2019,2520,4200,1680
order428,1/24/2019,id3604,product5,да,1/24/2019,3120,3900,780
order431,1/24/2019,id7098,product5,да,1/24/2019,3120,3900,780
order432,1/24/2019,id654,product4,да,1/24/2019,3440,4300,860
order433,1/24/2019,id7986,product3,да,1/24/2019,2520,4200,1680
order434,1/24/2019,id219,product3,да,1/24/2019,3360,4200,840
order435,1/24/2019,id3866,product1,да,1/24/2019,3440,4300,860
order436,1/24/2019,id9092,product1,да,1/24/2019,3440,4300,860
order437,1/24/2019,id4123,product5,да,1/24/2019,3120,3900,780
order438,1/24/2019,id8331,product5,да,1/24/2019,3120,3900,780
order439,1/24/2019,id7478,product3,да,1/24/2019,3360,4200,840
order440,1/24/2019,id14219,product5,да,1/24/2019,3120,3900,780
order443,1/24/2019,id6754,product2,да,1/24/2019,3240,4050,810
order446,1/24/2019,id1086,product1,да,1/24/2019,3440,4300,860
order448,1/24/2019,id2373,product6,да,1/24/2019,3360,4200,840
order449,1/24/2019,id1539,product6,да,1/24/2019,3360,4200,840
order450,1/24/2019,id2787,product4,да,1/24/2019,3440,4300,860
order451,1/25/2019,id3786,product4,да,1/25/2019,3440,4300,860
order452,1/25/2019,id10779,product1,да,1/25/2019,3440,4300,860
order453,1/25/2019,id4710,product3,да,1/25/2019,2520,4200,1680
order455,1/25/2019,id2137,product3,да,1/25/2019,"2423,806452",4200,"1776,193548"
order457,1/25/2019,id361,product4,да,1/25/2019,3440,4300,860
order458,1/25/2019,id14162,product5,да,1/25/2019,3120,3900,780
order459,1/25/2019,id4053,product5,да,1/25/2019,3120,3900,780
order462,1/25/2019,id13234,product6,да,1/25/2019,2520,4200,1680
order463,1/25/2019,id9061,product4,да,1/25/2019,"416,1290323",4300,"3883,870968"
order464,1/25/2019,id9061,product6,да,1/25/2019,"406,4516129",4200,"3793,548387"
order465,1/25/2019,id11284,product4,да,1/25/2019,3440,4300,860
order466,1/25/2019,id435,product3,да,1/25/2019,"3067,076923",4200,"1132,923077"
order467,1/25/2019,id7239,product5,да,1/25/2019,3120,3900,780
order469,1/25/2019,id3160,product4,да,1/25/2019,3440,4300,860
order473,1/25/2019,id10343,product4,да,1/25/2019,3440,4300,860
order474,1/25/2019,id1423,product1,да,1/25/2019,3440,4300,860
order476,1/25/2019,id1881,product4,да,1/25/2019,"1070,222222",4300,"3229,777778"
order477,1/25/2019,id2419,product6,да,1/25/2019,3360,4200,840
order479,1/25/2019,id13663,product5,да,1/25/2019,3120,3900,780
order480,1/25/2019,id5225,product5,да,1/25/2019,3120,3900,780
order481,1/25/2019,id3866,product5,да,1/25/2019,3120,3900,780
order482,1/25/2019,id3790,product4,да,1/25/2019,3440,4300,860
order486,1/25/2019,id7899,product4,да,1/25/2019,3440,4300,860
order487,1/25/2019,id14035,product4,да,1/25/2019,3440,4300,860
order488,1/25/2019,id4448,product5,да,1/25/2019,3120,3900,780
order490,1/25/2019,id2033,product4,да,1/25/2019,3440,4300,860
order491,1/25/2019,id4041,product4,да,1/25/2019,3440,4300,860
order492,1/25/2019,id1296,product4,да,1/25/2019,3440,4300,860
order494,1/25/2019,id11259,product3,да,1/25/2019,3360,4200,840
order495,1/25/2019,id10544,product5,да,1/25/2019,3120,3900,780
order496,1/25/2019,id999,product4,да,1/25/2019,3440,4300,860
order498,1/26/2019,id4299,product5,да,1/26/2019,3120,3900,780
order501,1/26/2019,id6658,product3,да,1/26/2019,3360,4200,840
order502,1/26/2019,id4150,product2,да,1/26/2019,3240,4050,810
order503,1/26/2019,id2655,product4,да,1/26/2019,3440,4300,860
order505,1/26/2019,id2639,product4,да,1/26/2019,3440,4300,860
order506,1/26/2019,id14431,product5,да,1/26/2019,3120,3900,780
order508,1/26/2019,id2946,product4,да,1/26/2019,3440,4300,860
order510,1/26/2019,id2923,product5,да,1/26/2019,3120,3900,780
order514,1/26/2019,id1674,product5,да,1/26/2019,3120,3900,780
order516,1/26/2019,id4333,product3,да,1/26/2019,3360,4200,840
order521,1/26/2019,id1767,product5,да,1/26/2019,3120,3900,780
order522,1/26/2019,id4586,product5,да,1/26/2019,3120,3900,780
order525,1/26/2019,id25,product5,да,1/26/2019,3120,3900,780
order527,1/26/2019,id4305,product4,да,1/26/2019,3440,4300,860
order528,1/26/2019,id4624,product5,да,1/26/2019,3120,3900,780
order529,1/26/2019,id14,product4,да,1/26/2019,3440,4300,860
order530,1/26/2019,id3626,product3,да,1/26/2019,3360,4200,840
order534,1/26/2019,id7559,product3,да,1/26/2019,3360,4200,840
order537,1/26/2019,id13743,product5,да,1/26/2019,3120,3900,780
order539,1/27/2019,id11266,product4,да,1/27/2019,3440,4300,860
order541,1/27/2019,id10403,product3,да,1/27/2019,3360,4200,840
order542,1/27/2019,id12866,product4,да,1/27/2019,2580,4300,1720
order544,1/27/2019,id4290,product5,да,1/27/2019,3120,3900,780
order545,1/27/2019,id2452,product6,да,1/27/2019,3360,4200,840
order533,1/26/2019,id6519,product5,да,1/27/2019,3120,3900,780
order546,1/27/2019,id4018,product6,да,1/27/2019,3360,4200,840
order549,1/27/2019,id8699,product1,да,1/27/2019,3440,4300,860
order551,1/27/2019,id11248,product1,да,1/27/2019,3440,4300,860
order552,1/27/2019,id11092,product3,да,1/27/2019,3360,4200,840
order553,1/27/2019,id4622,product3,да,1/27/2019,2520,4200,1680
order554,1/27/2019,id2791,product6,да,1/27/2019,2520,4200,1680
order555,1/27/2019,id4035,product3,да,1/27/2019,3360,4200,840
order561,1/27/2019,id281,product5,да,1/27/2019,3120,3900,780
order565,1/27/2019,id11237,product4,да,1/27/2019,3440,4300,860
order566,1/27/2019,id2380,product3,да,1/27/2019,2520,4200,1680
order567,1/27/2019,id9083,product3,да,1/27/2019,3360,4200,840
order568,1/27/2019,id4921,product6,да,1/27/2019,3360,4200,840
order569,1/27/2019,id3924,product3,да,1/27/2019,2520,4200,1680
order570,1/27/2019,id5038,product6,да,1/27/2019,3360,4200,840
order571,1/27/2019,id10420,product5,да,1/27/2019,3120,3900,780
order572,1/27/2019,id4266,product4,да,1/27/2019,3440,4300,860
order573,1/27/2019,id5531,product3,да,1/27/2019,3360,4200,840
order574,1/27/2019,id276,product4,да,1/27/2019,2580,4300,1720
order575,1/27/2019,id3346,product6,да,1/27/2019,3360,4200,840
order576,1/27/2019,id7926,product5,да,1/27/2019,3120,3900,780
order577,1/27/2019,id11001,product3,да,1/27/2019,3360,4200,840
order579,1/27/2019,id2300,product5,да,1/27/2019,2730,3900,1170
order583,1/27/2019,id9503,product6,да,1/27/2019,3360,4200,840
order582,1/27/2019,id3279,product3,да,1/27/2019,3360,4200,840
order584,1/27/2019,id14286,product2,да,1/27/2019,3240,4050,810
order586,1/27/2019,id2893,product4,да,1/27/2019,3440,4300,860
order587,1/27/2019,id2035,product5,да,1/27/2019,3120,3900,780
order588,1/27/2019,id3687,product3,да,1/27/2019,2940,4200,1260
order590,1/27/2019,id2946,product5,да,1/27/2019,3120,3900,780
order593,1/27/2019,id4916,product4,да,1/27/2019,3440,4300,860
order594,1/27/2019,id2532,product4,да,1/27/2019,3440,4300,860
order595,1/27/2019,id9,product4,да,1/27/2019,3440,4300,860
order597,1/27/2019,id3173,product4,да,1/27/2019,2580,4300,1720
order598,1/28/2019,id9509,product4,да,1/28/2019,3440,4300,860
order600,1/28/2019,id2072,product5,да,1/28/2019,2730,3900,1170
order601,1/28/2019,id3887,product4,да,1/28/2019,3010,4300,1290
order602,1/28/2019,id3887,product3,да,1/28/2019,2940,4200,1260
order603,1/28/2019,id14298,product4,да,1/28/2019,3440,4300,860
order604,1/28/2019,id2659,product1,да,1/28/2019,3440,4300,860
order605,1/28/2019,id5759,product4,да,1/28/2019,3440,4300,860
order611,1/28/2019,id10134,product5,да,1/28/2019,3120,3900,780
order612,1/28/2019,id9549,product5,да,1/28/2019,2340,3900,1560
order613,1/28/2019,id1724,product3,да,1/28/2019,3360,4200,840
order614,1/28/2019,id9599,product3,да,1/28/2019,3360,4200,840
order615,1/28/2019,id4747,product3,да,1/28/2019,3360,4200,840
order617,1/28/2019,id9640,product1,да,1/28/2019,"2865,741935",4300,"1434,258065"
order627,1/28/2019,id14074,product1,да,1/28/2019,3440,4300,860
order629,1/28/2019,id2377,product2,да,1/28/2019,3240,4050,810
order631,1/28/2019,id1397,product5,да,1/28/2019,2340,3900,1560
order632,1/28/2019,id2714,product4,да,1/28/2019,3440,4300,860
order634,1/28/2019,id2350,product4,да,1/28/2019,3440,4300,860
order636,1/28/2019,id3141,product5,да,1/28/2019,2340,3900,1560
order637,1/28/2019,id3141,product4,да,1/28/2019,2580,4300,1720
order638,1/28/2019,id8160,product3,да,1/28/2019,3360,4200,840
order642,1/28/2019,id1068,product6,да,1/28/2019,"1529,230769",4200,"2670,769231"
order644,1/28/2019,id4334,product1,да,1/28/2019,2580,4300,1720
order646,1/28/2019,id13445,product4,да,1/28/2019,2580,4300,1720
order648,1/28/2019,id14469,product6,да,1/28/2019,3360,4200,840
order649,1/28/2019,id9111,product3,да,1/28/2019,"2068,83871",4200,"2131,16129"
order652,1/28/2019,id9706,product4,да,1/28/2019,3440,4300,860
order653,1/28/2019,id2014,product4,да,1/28/2019,3440,4300,860
order654,1/28/2019,id14058,product4,да,1/28/2019,2580,4300,1720
order655,1/28/2019,id837,product5,да,1/28/2019,2340,3900,1560
